ApiaryID,HiveID,InsptDate,Brood,Bees,Queen,Food,Stressors,Space
BBCC,HT107,2017-05-08,0.0,0.5,0.0,1.0,0.0,1.0
BBCC,HT107,2017-05-08,0.0,0.5,0.0,1.0,0.0,1.0
BBCC,HT107,2017-05-16,0.0,1.0,0.0,0.0,0.0,1.0
BBCC,HT107,2017-05-16,0.0,1.0,0.0,0.0,0.0,1.0
BBCC,HT107,2017-05-25,0.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT107,2017-05-25,0.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT107,2017-06-06,1.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT107,2017-06-06,1.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT107,2017-06-12,1.0,1.0,1.0,0.0,0.0,1.0
BBCC,HT107,2017-06-12,1.0,1.0,1.0,0.0,0.0,1.0
BBCC,HT107,2017-06-21,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT107,2017-06-21,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT107,2017-06-26,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT107,2017-06-26,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT107,2017-07-03,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT107,2017-07-11,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT107,2017-07-25,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT107,2017-08-07,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT107,2017-08-18,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT107,2017-08-24,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT107,2017-08-30,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT107,2017-09-05,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT107,2017-09-13,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT107,2017-09-19,1.0,1.0,1.0,0.0,0.0,1.0
BBCC,HT107,2017-09-25,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT107,2017-10-03,1.0,1.0,1.0,0.0,1.0,1.0
BBCC,HT107,2017-10-10,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT107,2017-10-17,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT107,2017-10-24,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT107,2017-11-03,0.0,1.0,1.0,0.0,0.0,1.0
BBCC,HT108,2017-04-04,0.0,0.0,1.0,1.0,1.0,1.0
BBCC,HT108,2017-04-04,0.0,0.0,1.0,1.0,1.0,1.0
BBCC,HT108,2017-04-10,0.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT108,2017-04-10,0.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT108,2017-04-21,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT108,2017-04-21,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT108,2017-04-26,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT108,2017-04-26,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT108,2017-05-02,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT108,2017-05-02,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT108,2017-05-08,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT108,2017-05-08,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT108,2017-05-16,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT108,2017-05-16,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT108,2017-05-25,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT108,2017-05-25,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT108,2017-06-06,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT108,2017-06-06,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT108,2017-06-12,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT108,2017-06-12,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT108,2017-06-21,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT108,2017-06-21,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT108,2017-06-26,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT108,2017-06-26,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT108,2017-07-03,1.0,1.0,1.0,1.0,1.0,1.0
